!time	FLOW	TEMP
2019-04-27 00:00:00	0.0144981	16.3131
2019-04-28 00:00:00	0.0153322	16.4852
2019-04-29 00:00:00	0.0164405	16.7177
2019-04-30 00:00:00	0.0159835	16.9502
2019-05-01 00:00:00	0.0170253	17.1161
2019-05-02 00:00:00	0.0168039	17.4039
2019-05-03 00:00:00	0.0134673	17.6918
2019-05-04 00:00:00	0.013855	17.9796
2019-05-05 00:00:00	0.0195269	18.0597
2019-05-06 00:00:00	0.0194132	18.0581
2019-05-07 00:00:00	0.0136094	18.3361
2019-05-08 00:00:00	0.0124455	19.1434
2019-05-09 00:00:00	0.0134667	19.4815
2019-05-10 00:00:00	0.0144068	19.916
2019-05-11 00:00:00	0.0157208	20.3208
2019-05-12 00:00:00	0.0178403	20.4324
2019-05-13 00:00:00	0.0158133	20.4036
2019-05-14 00:00:00	0.0129428	20.3747
2019-05-15 00:00:00	0.0175171	19.623
2019-05-16 00:00:00	0.0189279	19.7479
2019-05-17 00:00:00	0.0153741	19.6289
2019-05-18 00:00:00	0.0169835	19.5395
2019-05-19 00:00:00	0.0167936	19.1678
2019-05-20 00:00:00	0.0157975	19.143
2019-05-21 00:00:00	0.0165218	19.1181
2019-05-22 00:00:00	0.0176142	19.5683
2019-05-23 00:00:00	0.0182017	19.932
2019-05-24 00:00:00	0.0169772	20.2775
2019-05-25 00:00:00	0.0151252	20.6231
2019-05-26 00:00:00	0.013912	21.1347
2019-05-27 00:00:00	0.0137188	21.938
2019-05-28 00:00:00	0.0130755	22.7414
2019-05-29 00:00:00	0.0137181	22.7686
2019-05-30 00:00:00	0.013994	22.3639
2019-05-31 00:00:00	0.0139675	22.4814
2019-06-01 00:00:00	0.0153554	22.407
2019-06-02 00:00:00	0.0190198	22.7072
2019-06-03 00:00:00	0.017894	22.9292
2019-06-04 00:00:00	0.0157712	23.0222
2019-06-05 00:00:00	0.0166385	22.6413
2019-06-06 00:00:00	0.0169253	22.3722
2019-06-07 00:00:00	0.0158185	22.3611
2019-06-08 00:00:00	0.0145372	22.4161
2019-06-09 00:00:00	0.0144553	22.4911
2019-06-10 00:00:00	0.0141406	22.8954
2019-06-11 00:00:00	0.015199	23.2997
2019-06-12 00:00:00	0.0149144	23.5307
2019-06-13 00:00:00	0.0148734	23.7563
2019-06-14 00:00:00	0.0145676	23.9008
2019-06-15 00:00:00	0.0173329	24.2127
2019-06-16 00:00:00	0.018051	24.4164
2019-06-17 00:00:00	0.0171077	24.6831
2019-06-18 00:00:00	0.0171545	24.9497
2019-06-19 00:00:00	0.0154318	25.0608
2019-06-20 00:00:00	0.0147196	25.0196
2019-06-21 00:00:00	0.0135667	24.9844
2019-06-22 00:00:00	0.0137574	24.9492
2019-06-23 00:00:00	0.0168001	24.8408
2019-06-24 00:00:00	0.0168071	25.1643
2019-06-25 00:00:00	0.0136544	25.4878
2019-06-26 00:00:00	0.0146412	25.391
2019-06-27 00:00:00	0.0168298	25.0391
2019-06-28 00:00:00	0.0148981	24.8162
