!time	FLOW
2019-05-21 00:00:00	-0.0743703
2019-05-22 00:00:00	-0.0757067
2019-05-23 00:00:00	-0.074768
2019-05-24 00:00:00	-0.0767878
2019-05-25 00:00:00	-0.0815329
2019-05-26 00:00:00	-0.0767088
2019-05-27 00:00:00	-0.0755815
2019-05-28 00:00:00	-0.0742768
2019-05-29 00:00:00	-0.0733397
2019-05-30 00:00:00	-0.0731535
2019-05-31 00:00:00	-0.0726459
2019-06-01 00:00:00	-0.0726417
2019-06-02 00:00:00	-0.0740385
2019-06-03 00:00:00	-0.0708983
2019-06-04 00:00:00	-0.0668348
2019-06-05 00:00:00	-0.0697141
2019-06-06 00:00:00	-0.0759096
2019-06-07 00:00:00	-0.0718682
2019-06-08 00:00:00	-0.0684407
2019-06-09 00:00:00	-0.0683411
2019-06-10 00:00:00	-0.0645243
2019-06-11 00:00:00	-0.0568748
2019-06-12 00:00:00	-0.0535776
2019-06-13 00:00:00	-0.0516852
2019-06-14 00:00:00	-0.0497755
2019-06-15 00:00:00	-0.0529073
2019-06-16 00:00:00	-0.0559126
2019-06-17 00:00:00	-0.0588783
2019-06-18 00:00:00	-0.0687632
2019-06-19 00:00:00	-0.0660722
2019-06-20 00:00:00	-0.0634075
2019-06-21 00:00:00	-0.0598116
2019-06-22 00:00:00	-0.0566816
2019-06-23 00:00:00	-0.057431
2019-06-24 00:00:00	-0.0586049
2019-06-25 00:00:00	-0.0518527
2019-06-26 00:00:00	-0.0514916
2019-06-27 00:00:00	-0.0523042
2019-06-28 00:00:00	-0.0482605
2019-06-29 00:00:00	-0.0434537
2019-06-30 00:00:00	-0.0430203
2019-07-01 00:00:00	-0.0426723
2019-07-02 00:00:00	-0.050928
2019-07-03 00:00:00	-0.0665854
2019-07-04 00:00:00	-0.0670338
2019-07-05 00:00:00	-0.0578574
2019-07-06 00:00:00	-0.0525602
2019-07-07 00:00:00	-0.0500859
2019-07-08 00:00:00	-0.04641
2019-07-09 00:00:00	-0.0444132
2019-07-10 00:00:00	-0.0516211
2019-07-11 00:00:00	-0.0523762
2019-07-12 00:00:00	-0.0502725
2019-07-13 00:00:00	-0.0568892
2019-07-14 00:00:00	-0.0536689
2019-07-15 00:00:00	-0.0473073
2019-07-16 00:00:00	-0.0445151
2019-07-17 00:00:00	-0.0432821
2019-07-18 00:00:00	-0.0433598
2019-07-19 00:00:00	-0.0418534
2019-07-20 00:00:00	-0.0400002
2019-07-21 00:00:00	-0.0387538
2019-07-22 00:00:00	-0.038946
2019-07-23 00:00:00	-0.0390783
2019-07-24 00:00:00	-0.0422158
2019-07-25 00:00:00	-0.0430931
2019-07-26 00:00:00	-0.0372467
2019-07-27 00:00:00	-0.0381281
2019-07-28 00:00:00	-0.0412527
2019-07-29 00:00:00	-0.0399598
2019-07-30 00:00:00	-0.038082
2019-07-31 00:00:00	-0.0392364
2019-08-01 00:00:00	-0.0403187
